Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA200,Prev_day_close,Change_in_price,Pct_change,Prev_day_vol,Change_in_vol,Pct_change_in_vol
2013-01-02,19.779285430908203,19.821428298950195,19.343929290771484,19.608213424682617,16.81386375427246,560518000,,,,,,,,
2013-01-03,19.567142486572266,19.63107109069824,19.321428298950195,19.360713958740234,16.60163116455078,352965200,,,19.608213424682617,-0.2474994659423828,-0.012622234396471477,560518000.0,-207552800.0,-0.37028748407722856
2013-01-04,19.177499771118164,19.236785888671875,18.77964210510254,18.821428298950195,16.139205932617188,594333600,,,19.360713958740234,-0.5392856597900391,-0.02785463702109925,352965200.0,241368400.0,0.6838305872646935
2013-01-07,18.64285659790039,18.9035701751709,18.39999961853028,18.71071434020996,16.04425811767578,484156400,,,18.821428298950195,-0.11071395874023438,-0.0058823356538998395,594333600.0,-110177200.0,-0.1853793896222593
2013-01-08,18.90035629272461,18.996070861816406,18.616071701049805,18.761070251464844,16.087438583374023,458707200,,,18.71071434020996,0.05035591125488281,0.0026912874804927434,484156400.0,-25449200.0,-0.052564006176516465
2013-01-09,18.66071319580078,18.750356674194336,18.42821311950684,18.467857360839844,15.836020469665527,407604400,,,18.761070251464844,-0.293212890625,-0.015628793384114492,458707200.0,-51102800.0,-0.11140614317804476
2013-01-10,18.876785278320312,18.882856369018555,18.41142845153809,18.696786880493164,16.032320022583008,601146000,,,18.467857360839844,0.2289295196533203,0.012396106119963557,407604400.0,193541600.0,0.4748270627108049
2013-01-11,18.60714340209961,18.76142883300781,18.53642845153809,18.582143783569336,15.934014320373535,350506800,,,18.696786880493164,-0.11464309692382812,-0.006131700471134871,601146000.0,-250639200.0,-0.4169356529029553
2013-01-14,17.952856063842773,18.125,17.80392837524414,17.91964340209961,15.365928649902344,734207600,,,18.582143783569336,-0.6625003814697266,-0.03565252691971532,350506800.0,383700800.0,1.094702870243887
2013-01-15,17.796428680419922,17.82107162475586,17.26357078552246,17.354286193847656,14.881141662597656,876772400,,,17.91964340209961,-0.5653572082519531,-0.03154957917218992,734207600.0,142564800.0,0.19417505348623476
2013-01-16,17.665714263916016,18.194286346435547,17.58928680419922,18.074642181396484,15.498836517333984,690804800,,,17.354286193847656,0.7203559875488281,0.04150882263335065,876772400.0,-185967600.0,-0.21210476059693484
2013-01-17,18.225357055664062,18.241071701049805,17.929643630981445,17.952856063842773,15.394403457641602,453678400,,,18.074642181396484,-0.12178611755371094,-0.0067379545515462436,690804800.0,-237126400.0,-0.34326107751422685
2013-01-18,17.804285049438477,17.93642807006836,17.72857093811035,17.85714340209961,15.312326431274414,472922800,,,17.952856063842773,-0.09571266174316406,-0.005331333432563423,453678400.0,19244400.0,0.042418594317031655
2013-01-22,18.020000457763672,18.13857078552246,17.736785888671875,18.02750015258789,15.458409309387209,461546400,,,17.85714340209961,0.17035675048828125,0.009539977736206628,472922800.0,-11376400.0,-0.024055511808692698
